2021-06-17 15:22:15,490 'w'
2021-06-17 15:22:16,418 Key.enter
2021-06-17 15:22:22,914 'w'
2021-06-17 15:23:18,786 Key.backspace
2021-06-17 15:23:19,873 Key.enter
2021-06-17 15:23:26,642 Key.backspace
2021-06-17 15:23:36,706 'l'
2021-06-17 15:23:36,874 'a'
2021-06-17 15:23:37,042 'u'
2021-06-17 15:23:37,258 'n'
2021-06-17 15:23:37,538 'v'
2021-06-17 15:23:38,554 Key.backspace
2021-06-17 15:23:38,834 'c'
2021-06-17 15:23:39,050 'h'
2021-06-17 15:23:39,370 Key.caps_lock
2021-06-17 15:23:39,642 ';'
2021-06-17 15:23:39,786 Key.caps_lock
2021-06-17 15:23:40,042 'p'
2021-06-17 15:23:40,410 'y'
2021-06-17 15:23:41,626 Key.enter
2021-06-17 15:23:47,074 <98>
2021-06-17 15:23:47,266 Key.enter
2021-06-17 15:26:39,954 Key.ctrl_l
2021-06-17 15:26:40,378 '\x01'
2021-06-17 15:26:40,610 Key.backspace
2021-06-17 15:26:56,697 Key.enter
2021-06-17 15:26:57,074 Key.enter
2021-06-17 15:26:57,586 'c'
2021-06-17 15:26:57,794 'o'
2021-06-17 15:26:57,954 'l'
2021-06-17 15:26:58,138 'o'
2021-06-17 15:26:58,306 'r'
2021-06-17 15:26:58,554 'a'
2021-06-17 15:26:58,690 'm'
2021-06-17 15:26:58,794 'a'
2021-06-17 15:27:37,546 Key.ctrl_l
2021-06-17 15:27:38,061 Key.ctrl_l
2021-06-17 15:27:38,093 Key.ctrl_l
2021-06-17 15:27:38,124 Key.ctrl_l
2021-06-17 15:27:38,156 Key.ctrl_l
2021-06-17 15:27:38,188 Key.ctrl_l
2021-06-17 15:27:38,220 Key.ctrl_l
2021-06-17 15:27:38,252 Key.ctrl_l
2021-06-17 15:27:38,284 Key.ctrl_l
2021-06-17 15:27:38,316 Key.ctrl_l
2021-06-17 15:27:38,322 '\x01'
2021-06-17 15:27:38,890 Key.ctrl_l
2021-06-17 15:27:39,098 '\x03'
2021-06-17 15:27:49,778 Key.caps_lock
2021-06-17 15:27:50,514 'k'
2021-06-17 15:27:50,618 Key.caps_lock
2021-06-17 15:27:50,938 'e'
2021-06-17 15:27:51,370 'y'
2021-06-17 15:27:52,145 'l'
2021-06-17 15:27:52,346 'o'
2021-06-17 15:27:54,890 'g'
2021-06-17 15:27:55,050 'g'
2021-06-17 15:27:55,417 'e'
2021-06-17 15:27:55,617 'r'
2021-06-17 15:28:08,842 Key.space
2021-06-17 15:28:17,425 Key.ctrl_l
2021-06-17 15:28:17,932 Key.ctrl_l
2021-06-17 15:28:17,963 Key.ctrl_l
2021-06-17 15:28:17,995 Key.ctrl_l
2021-06-17 15:28:18,026 Key.ctrl_l
2021-06-17 15:28:18,058 '\x01'
2021-06-17 15:28:18,442 Key.ctrl_l
2021-06-17 15:28:18,794 '\x16'
